library	file	cohort	batch
NU68_B4	/mnt/data/urine/bams/dedup/NU68_B4_aligned_dedup.bam	healthy	4
NU68_UC1	/mnt/data/urine/bams/dedup/NU68_UC1_aligned_dedup.bam	healthy	1
NU69	/mnt/data/urine/bams/dedup/NU69_aligned_dedup.bam	healthy	3
NU69_B4	/mnt/data/urine/bams/dedup/NU69_B4_aligned_dedup.bam	healthy	4
NU70	/mnt/data/urine/bams/dedup/NU70_aligned_dedup.bam	healthy	3
NU70_B4	/mnt/data/urine/bams/dedup/NU70_B4_aligned_dedup.bam	healthy	4
NU70_UC1	/mnt/data/urine/bams/dedup/NU70_UC1_aligned_dedup.bam	healthy	1
NU71	/mnt/data/urine/bams/dedup/NU71_aligned_dedup.bam	healthy	3
NU71_B4	/mnt/data/urine/bams/dedup/NU71_B4_aligned_dedup.bam	healthy	4
NU71_UC1	/mnt/data/urine/bams/dedup/NU71_UC1_aligned_dedup.bam	healthy	1
NU74	/mnt/data/urine/bams/dedup/NU74_aligned_dedup.bam	healthy	2
NU74_B4	/mnt/data/urine/bams/dedup/NU74_B4_aligned_dedup.bam	healthy	4
NU75	/mnt/data/urine/bams/dedup/NU75_aligned_dedup.bam	healthy	3
NU75_UC1	/mnt/data/urine/bams/dedup/NU75_UC1_aligned_dedup.bam	healthy	1
NU83	/mnt/data/urine/bams/dedup/NU83_aligned_dedup.bam	healthy	2
NU90	/mnt/data/urine/bams/dedup/NU90_aligned_dedup.bam	healthy	2
NU90_B4	/mnt/data/urine/bams/dedup/NU90_B4_aligned_dedup.bam	healthy	4
NU97	/mnt/data/urine/bams/dedup/NU97_aligned_dedup.bam	healthy	2
NU97_B4	/mnt/data/urine/bams/dedup/NU97_B4_aligned_dedup.bam	healthy	4
PB-106_UC1	/mnt/data/urine/bams/dedup/PB-106_UC1_aligned_dedup.bam	prostate	3
PB-162_UC1	/mnt/data/urine/bams/dedup/PB-162_UC1_aligned_dedup.bam	prostate	3
PB-177_UC1	/mnt/data/urine/bams/dedup/PB-177_UC1_aligned_dedup.bam	prostate	3
PB-196_UC1	/mnt/data/urine/bams/dedup/PB-196_UC1_aligned_dedup.bam	prostate	3
PB-198_UC1	/mnt/data/urine/bams/dedup/PB-198_UC1_aligned_dedup.bam	prostate	3
PB-209_UC1	/mnt/data/urine/bams/dedup/PB-209_UC1_aligned_dedup.bam	prostate	3
PB-226_UC1	/mnt/data/urine/bams/dedup/PB-226_UC1_aligned_dedup.bam	prostate	3
PB-239_UC1	/mnt/data/urine/bams/dedup/PB-239_UC1_aligned_dedup.bam	prostate	3
PB-270_UC1	/mnt/data/urine/bams/dedup/PB-270_UC1_aligned_dedup.bam	prostate	3
PB-276_UC1	/mnt/data/urine/bams/dedup/PB-276_UC1_aligned_dedup.bam	prostate	3
PB-278_UC1	/mnt/data/urine/bams/dedup/PB-278_UC1_aligned_dedup.bam	prostate	3
PB-280_UC1	/mnt/data/urine/bams/dedup/PB-280_UC1_aligned_dedup.bam	prostate	3
PB-284_UC1	/mnt/data/urine/bams/dedup/PB-284_UC1_aligned_dedup.bam	prostate	3
PB-305_UC1	/mnt/data/urine/bams/dedup/PB-305_UC1_aligned_dedup.bam	prostate	3
PB-306_UC1	/mnt/data/urine/bams/dedup/PB-306_UC1_aligned_dedup.bam	prostate	3
PB-313_UC1	/mnt/data/urine/bams/dedup/PB-313_UC1_aligned_dedup.bam	prostate	3
PB-324_UC1	/mnt/data/urine/bams/dedup/PB-324_UC1_aligned_dedup.bam	prostate	3
PB-365_UC1	/mnt/data/urine/bams/dedup/PB-365_UC1_aligned_dedup.bam	prostate	3
PB-377_UC1	/mnt/data/urine/bams/dedup/PB-377_UC1_aligned_dedup.bam	prostate	3
PB-394_UC1	/mnt/data/urine/bams/dedup/PB-394_UC1_aligned_dedup.bam	prostate	3
PB-397_UC1	/mnt/data/urine/bams/dedup/PB-397_UC1_aligned_dedup.bam	prostate	3
PB032_UC1	/mnt/data/urine/bams/dedup/PB032_UC1_aligned_dedup.bam	prostate	2
PB046_UC1	/mnt/data/urine/bams/dedup/PB046_UC1_aligned_dedup.bam	prostate	2
PB056_UC1	/mnt/data/urine/bams/dedup/PB056_UC1_aligned_dedup.bam	prostate	2
PB069_UC1	/mnt/data/urine/bams/dedup/PB069_UC1_aligned_dedup.bam	prostate	2
PB108_UC1	/mnt/data/urine/bams/dedup/PB108_UC1_aligned_dedup.bam	prostate	2
PB132_UC1	/mnt/data/urine/bams/dedup/PB132_UC1_aligned_dedup.bam	prostate	2
PB142_UC1	/mnt/data/urine/bams/dedup/PB142_UC1_aligned_dedup.bam	prostate	2
PB163_UC1	/mnt/data/urine/bams/dedup/PB163_UC1_aligned_dedup.bam	prostate	2
PB165_UC1	/mnt/data/urine/bams/dedup/PB165_UC1_aligned_dedup.bam	prostate	2
PB188_UC1	/mnt/data/urine/bams/dedup/PB188_UC1_aligned_dedup.bam	prostate	2
PB203_UC1	/mnt/data/urine/bams/dedup/PB203_UC1_aligned_dedup.bam	prostate	2
PB204_UC1	/mnt/data/urine/bams/dedup/PB204_UC1_aligned_dedup.bam	prostate	2
PB206_UC1	/mnt/data/urine/bams/dedup/PB206_UC1_aligned_dedup.bam	prostate	2
PB208_UC1	/mnt/data/urine/bams/dedup/PB208_UC1_aligned_dedup.bam	prostate	2
PB210_UC1	/mnt/data/urine/bams/dedup/PB210_UC1_aligned_dedup.bam	prostate	2
PB242_UC1	/mnt/data/urine/bams/dedup/PB242_UC1_aligned_dedup.bam	prostate	2
PB251_UC1	/mnt/data/urine/bams/dedup/PB251_UC1_aligned_dedup.bam	prostate	2
PB258_UC1	/mnt/data/urine/bams/dedup/PB258_UC1_aligned_dedup.bam	prostate	2
PB266_UC1	/mnt/data/urine/bams/dedup/PB266_UC1_aligned_dedup.bam	prostate	2
PB269_UC1	/mnt/data/urine/bams/dedup/PB269_UC1_aligned_dedup.bam	prostate	2
PB402_UC1	/mnt/data/urine/bams/dedup/PB402_UC1_aligned_dedup.bam	prostate	2
RCC001_UC1	/mnt/data/urine/bams/dedup/RCC001_UC1_aligned_dedup.bam	RCC	2
RCC001_UC2	/mnt/data/urine/bams/dedup/RCC001_UC2_aligned_dedup.bam	RCC	2
RCC002_UC1	/mnt/data/urine/bams/dedup/RCC002_UC1_aligned_dedup.bam	RCC	2
RCC002_UC2	/mnt/data/urine/bams/dedup/RCC002_UC2_aligned_dedup.bam	RCC	2
RCC003_UC1	/mnt/data/urine/bams/dedup/RCC003_UC1_aligned_dedup.bam	RCC	2
RCC003_UC2	/mnt/data/urine/bams/dedup/RCC003_UC2_aligned_dedup.bam	RCC	2
RCC004_UC1	/mnt/data/urine/bams/dedup/RCC004_UC1_aligned_dedup.bam	RCC	2
RCC004_UC2	/mnt/data/urine/bams/dedup/RCC004_UC2_aligned_dedup.bam	RCC	2
RCC005_UC1	/mnt/data/urine/bams/dedup/RCC005_UC1_aligned_dedup.bam	RCC	2
RCC005_UC2	/mnt/data/urine/bams/dedup/RCC005_UC2_aligned_dedup.bam	RCC	2
RCC006_UC1	/mnt/data/urine/bams/dedup/RCC006_UC1_aligned_dedup.bam	RCC	2
RCC006_UC2	/mnt/data/urine/bams/dedup/RCC006_UC2_aligned_dedup.bam	RCC	2
RCC008_UC1	/mnt/data/urine/bams/dedup/RCC008_UC1_aligned_dedup.bam	RCC	2
RCC008_UC2	/mnt/data/urine/bams/dedup/RCC008_UC2_aligned_dedup.bam	RCC	2
RCC009_UC1	/mnt/data/urine/bams/dedup/RCC009_UC1_aligned_dedup.bam	RCC	2
RCC009_UC2	/mnt/data/urine/bams/dedup/RCC009_UC2_aligned_dedup.bam	RCC	3
RCC010_UC1	/mnt/data/urine/bams/dedup/RCC010_UC1_aligned_dedup.bam	RCC	3
RCC010_UC2	/mnt/data/urine/bams/dedup/RCC010_UC2_aligned_dedup.bam	RCC	3
RCC011_UC1	/mnt/data/urine/bams/dedup/RCC011_UC1_aligned_dedup.bam	RCC	3
RCC012_UC1	/mnt/data/urine/bams/dedup/RCC012_UC1_aligned_dedup.bam	RCC	3
RCC012_UC2	/mnt/data/urine/bams/dedup/RCC012_UC2_aligned_dedup.bam	RCC	3
RCC013_UC1	/mnt/data/urine/bams/dedup/RCC013_UC1_aligned_dedup.bam	RCC	3
RCC013_UC2	/mnt/data/urine/bams/dedup/RCC013_UC2_aligned_dedup.bam	RCC	3
RCC014_UC1	/mnt/data/urine/bams/dedup/RCC014_UC1_aligned_dedup.bam	RCC	3
RCC015_UC1	/mnt/data/urine/bams/dedup/RCC015_UC1_aligned_dedup.bam	RCC	3
RCC015_UC2	/mnt/data/urine/bams/dedup/RCC015_UC2_aligned_dedup.bam	RCC	3
RCC016_UC1	/mnt/data/urine/bams/dedup/RCC016_UC1_aligned_dedup.bam	RCC	3
RCC016_UC2	/mnt/data/urine/bams/dedup/RCC016_UC2_aligned_dedup.bam	RCC	3
RCC017_UC1	/mnt/data/urine/bams/dedup/RCC017_UC1_aligned_dedup.bam	RCC	3
RCC017_UC2	/mnt/data/urine/bams/dedup/RCC017_UC2_aligned_dedup.bam	RCC	3
RCC018_UC1	/mnt/data/urine/bams/dedup/RCC018_UC1_aligned_dedup.bam	RCC	2
RCC018_UC2	/mnt/data/urine/bams/dedup/RCC018_UC2_aligned_dedup.bam	RCC	3
RCC019_UC1	/mnt/data/urine/bams/dedup/RCC019_UC1_aligned_dedup.bam	RCC	2
RCC019_UC2	/mnt/data/urine/bams/dedup/RCC019_UC2_aligned_dedup.bam	RCC	3
RCC096	/mnt/data/urine/bams/dedup/RCC096_aligned_dedup.bam	RCC	4
RCC097	/mnt/data/urine/bams/dedup/RCC097_aligned_dedup.bam	RCC	4
RCC098	/mnt/data/urine/bams/dedup/RCC098_aligned_dedup.bam	RCC	4
RCC099	/mnt/data/urine/bams/dedup/RCC099_aligned_dedup.bam	RCC	4
RCC100	/mnt/data/urine/bams/dedup/RCC100_aligned_dedup.bam	RCC	4
RCC101	/mnt/data/urine/bams/dedup/RCC101_aligned_dedup.bam	RCC	4
RCC103	/mnt/data/urine/bams/dedup/RCC103_aligned_dedup.bam	RCC	4
RCC105	/mnt/data/urine/bams/dedup/RCC105_aligned_dedup.bam	RCC	4
RCC106	/mnt/data/urine/bams/dedup/RCC106_aligned_dedup.bam	RCC	4
RCC107	/mnt/data/urine/bams/dedup/RCC107_aligned_dedup.bam	RCC	4
RCC108	/mnt/data/urine/bams/dedup/RCC108_aligned_dedup.bam	RCC	4
RCC119	/mnt/data/urine/bams/dedup/RCC119_aligned_dedup.bam	RCC	4
RCC125	/mnt/data/urine/bams/dedup/RCC125_aligned_dedup.bam	RCC	4
RCC127	/mnt/data/urine/bams/dedup/RCC127_aligned_dedup.bam	RCC	4
RCC131	/mnt/data/urine/bams/dedup/RCC131_aligned_dedup.bam	RCC	4
RCC132	/mnt/data/urine/bams/dedup/RCC132_aligned_dedup.bam	RCC	4
RCC133	/mnt/data/urine/bams/dedup/RCC133_aligned_dedup.bam	RCC	4
RCC134	/mnt/data/urine/bams/dedup/RCC134_aligned_dedup.bam	RCC	4
RCC135	/mnt/data/urine/bams/dedup/RCC135_aligned_dedup.bam	RCC	4
RCC136	/mnt/data/urine/bams/dedup/RCC136_aligned_dedup.bam	RCC	4
RCC137	/mnt/data/urine/bams/dedup/RCC137_aligned_dedup.bam	RCC	4
RCC138	/mnt/data/urine/bams/dedup/RCC138_aligned_dedup.bam	RCC	4
RCC139	/mnt/data/urine/bams/dedup/RCC139_aligned_dedup.bam	RCC	4
RCC140	/mnt/data/urine/bams/dedup/RCC140_aligned_dedup.bam	RCC	4
RCC141	/mnt/data/urine/bams/dedup/RCC141_aligned_dedup.bam	RCC	4
RCC142	/mnt/data/urine/bams/dedup/RCC142_aligned_dedup.bam	RCC	4
RCC143	/mnt/data/urine/bams/dedup/RCC143_aligned_dedup.bam	RCC	4
RCC144	/mnt/data/urine/bams/dedup/RCC144_aligned_dedup.bam	RCC	4
RCC145	/mnt/data/urine/bams/dedup/RCC145_aligned_dedup.bam	RCC	4
RCC146	/mnt/data/urine/bams/dedup/RCC146_aligned_dedup.bam	RCC	4
RCC147	/mnt/data/urine/bams/dedup/RCC147_aligned_dedup.bam	RCC	4
RCC149	/mnt/data/urine/bams/dedup/RCC149_aligned_dedup.bam	RCC	4
RCC150	/mnt/data/urine/bams/dedup/RCC150_aligned_dedup.bam	RCC	4
RCC151	/mnt/data/urine/bams/dedup/RCC151_aligned_dedup.bam	RCC	4
RCC152	/mnt/data/urine/bams/dedup/RCC152_aligned_dedup.bam	RCC	4
RCC153	/mnt/data/urine/bams/dedup/RCC153_aligned_dedup.bam	RCC	4
RCC154	/mnt/data/urine/bams/dedup/RCC154_aligned_dedup.bam	RCC	4
RCC155	/mnt/data/urine/bams/dedup/RCC155_aligned_dedup.bam	RCC	4
RCC156	/mnt/data/urine/bams/dedup/RCC156_aligned_dedup.bam	RCC	4
RCC157	/mnt/data/urine/bams/dedup/RCC157_aligned_dedup.bam	RCC	4
RCC158	/mnt/data/urine/bams/dedup/RCC158_aligned_dedup.bam	RCC	4
RCC159	/mnt/data/urine/bams/dedup/RCC159_aligned_dedup.bam	RCC	4
RCC160	/mnt/data/urine/bams/dedup/RCC160_aligned_dedup.bam	RCC	4
RCC161	/mnt/data/urine/bams/dedup/RCC161_aligned_dedup.bam	RCC	4
RCC162	/mnt/data/urine/bams/dedup/RCC162_aligned_dedup.bam	RCC	4
RCC163	/mnt/data/urine/bams/dedup/RCC163_aligned_dedup.bam	RCC	4
RCC164	/mnt/data/urine/bams/dedup/RCC164_aligned_dedup.bam	RCC	4
WBC1045_UC1	/mnt/data/urine/bams/dedup/WBC1045_UC1_aligned_dedup.bam	bladder	2
WBC1045_UC2	/mnt/data/urine/bams/dedup/WBC1045_UC2_aligned_dedup.bam	bladder	3
WBC1045_UC3	/mnt/data/urine/bams/dedup/WBC1045_UC3_aligned_dedup.bam	bladder	3
WBC1050_UC1	/mnt/data/urine/bams/dedup/WBC1050_UC1_aligned_dedup.bam	bladder	1
WBC1050_UC2	/mnt/data/urine/bams/dedup/WBC1050_UC2_aligned_dedup.bam	bladder	3
WBC1050_UC3	/mnt/data/urine/bams/dedup/WBC1050_UC3_aligned_dedup.bam	bladder	3
WBC1058_UC1	/mnt/data/urine/bams/dedup/WBC1058_UC1_aligned_dedup.bam	bladder	2
WBC1062_UC1	/mnt/data/urine/bams/dedup/WBC1062_UC1_aligned_dedup.bam	bladder	2
WBC1063_UC1	/mnt/data/urine/bams/dedup/WBC1063_UC1_aligned_dedup.bam	bladder	1
WBC1064_UC1	/mnt/data/urine/bams/dedup/WBC1064_UC1_aligned_dedup.bam	bladder	1
WBC1065_UC1	/mnt/data/urine/bams/dedup/WBC1065_UC1_aligned_dedup.bam	bladder	2
WBC1069_UC1	/mnt/data/urine/bams/dedup/WBC1069_UC1_aligned_dedup.bam	bladder	2
WBC1071_UC1	/mnt/data/urine/bams/dedup/WBC1071_UC1_aligned_dedup.bam	bladder	1
WBC1076_UC1	/mnt/data/urine/bams/dedup/WBC1076_UC1_aligned_dedup.bam	bladder	1
WBC1077_UC1	/mnt/data/urine/bams/dedup/WBC1077_UC1_aligned_dedup.bam	bladder	1
WBC1083_UC1	/mnt/data/urine/bams/dedup/WBC1083_UC1_aligned_dedup.bam	bladder	1
WBC1085_UC1	/mnt/data/urine/bams/dedup/WBC1085_UC1_aligned_dedup.bam	bladder	1
WBC1088_UC1	/mnt/data/urine/bams/dedup/WBC1088_UC1_aligned_dedup.bam	bladder	1
WBC1090_UC1	/mnt/data/urine/bams/dedup/WBC1090_UC1_aligned_dedup.bam	bladder	2
WBC1096_UC1	/mnt/data/urine/bams/dedup/WBC1096_UC1_aligned_dedup.bam	bladder	2
WBC1104_UC1	/mnt/data/urine/bams/dedup/WBC1104_UC1_aligned_dedup.bam	bladder	2
WBC1105_UC1	/mnt/data/urine/bams/dedup/WBC1105_UC1_aligned_dedup.bam	bladder	2
WBC1108_UC1	/mnt/data/urine/bams/dedup/WBC1108_UC1_aligned_dedup.bam	bladder	2
WBC1109_UC1	/mnt/data/urine/bams/dedup/WBC1109_UC1_aligned_dedup.bam	bladder	1
WBC1111_UC1	/mnt/data/urine/bams/dedup/WBC1111_UC1_aligned_dedup.bam	bladder	1
WBC1116_UC1	/mnt/data/urine/bams/dedup/WBC1116_UC1_aligned_dedup.bam	bladder	2
WBC1132_UC1	/mnt/data/urine/bams/dedup/WBC1132_UC1_aligned_dedup.bam	bladder	1
WBC1133_UC1	/mnt/data/urine/bams/dedup/WBC1133_UC1_aligned_dedup.bam	bladder	1
WBC1135_UC1	/mnt/data/urine/bams/dedup/WBC1135_UC1_aligned_dedup.bam	bladder	2
WBC1140_UC1	/mnt/data/urine/bams/dedup/WBC1140_UC1_aligned_dedup.bam	bladder	2
WBC1147_UC1	/mnt/data/urine/bams/dedup/WBC1147_UC1_aligned_dedup.bam	bladder	1
WBC1171_UC1	/mnt/data/urine/bams/dedup/WBC1171_UC1_aligned_dedup.bam	bladder	1
WBC1174_UC1	/mnt/data/urine/bams/dedup/WBC1174_UC1_aligned_dedup.bam	bladder	2
WBC1182_UC1	/mnt/data/urine/bams/dedup/WBC1182_UC1_aligned_dedup.bam	bladder	2
WBC1185_UC1	/mnt/data/urine/bams/dedup/WBC1185_UC1_aligned_dedup.bam	bladder	1
WBC1186_UC1	/mnt/data/urine/bams/dedup/WBC1186_UC1_aligned_dedup.bam	bladder	1
WBC1188_UC1	/mnt/data/urine/bams/dedup/WBC1188_UC1_aligned_dedup.bam	bladder	1
WBC1196_UC1	/mnt/data/urine/bams/dedup/WBC1196_UC1_aligned_dedup.bam	bladder	1
WBC1197_UC1	/mnt/data/urine/bams/dedup/WBC1197_UC1_aligned_dedup.bam	bladder	1
WBC1198_UC1	/mnt/data/urine/bams/dedup/WBC1198_UC1_aligned_dedup.bam	bladder	2
WBC1202_UC1	/mnt/data/urine/bams/dedup/WBC1202_UC1_aligned_dedup.bam	bladder	2
WBC1203_UC1	/mnt/data/urine/bams/dedup/WBC1203_UC1_aligned_dedup.bam	bladder	1
WBC1206_UC1	/mnt/data/urine/bams/dedup/WBC1206_UC1_aligned_dedup.bam	bladder	1
WBC1207_UC1	/mnt/data/urine/bams/dedup/WBC1207_UC1_aligned_dedup.bam	bladder	2
WBC1209_UC1	/mnt/data/urine/bams/dedup/WBC1209_UC1_aligned_dedup.bam	bladder	2
WBC1215_UC1	/mnt/data/urine/bams/dedup/WBC1215_UC1_aligned_dedup.bam	bladder	2
WBC1222_UC1	/mnt/data/urine/bams/dedup/WBC1222_UC1_aligned_dedup.bam	bladder	1
WBC1233_UC1	/mnt/data/urine/bams/dedup/WBC1233_UC1_aligned_dedup.bam	bladder	1
WBC1235_UC1	/mnt/data/urine/bams/dedup/WBC1235_UC1_aligned_dedup.bam	bladder	2
WBC1242_UC1	/mnt/data/urine/bams/dedup/WBC1242_UC1_aligned_dedup.bam	bladder	1
WBC1243_UC1	/mnt/data/urine/bams/dedup/WBC1243_UC1_aligned_dedup.bam	bladder	3
WBC1255_UC1	/mnt/data/urine/bams/dedup/WBC1255_UC1_aligned_dedup.bam	bladder	1
WBC1260_UC1	/mnt/data/urine/bams/dedup/WBC1260_UC1_aligned_dedup.bam	bladder	3
WBC1265_UC1	/mnt/data/urine/bams/dedup/WBC1265_UC1_aligned_dedup.bam	bladder	3
WBC1269_UC1	/mnt/data/urine/bams/dedup/WBC1269_UC1_aligned_dedup.bam	bladder	1
WBC1277_UC1	/mnt/data/urine/bams/dedup/WBC1277_UC1_aligned_dedup.bam	bladder	1
WBC1291_UC1	/mnt/data/urine/bams/dedup/WBC1291_UC1_aligned_dedup.bam	bladder	1
WBC1296_UC1	/mnt/data/urine/bams/dedup/WBC1296_UC1_aligned_dedup.bam	bladder	3
WBC1298_UC1	/mnt/data/urine/bams/dedup/WBC1298_UC1_aligned_dedup.bam	bladder	1
WBC1300_UC1	/mnt/data/urine/bams/dedup/WBC1300_UC1_aligned_dedup.bam	bladder	1
WBC1303_UC1	/mnt/data/urine/bams/dedup/WBC1303_UC1_aligned_dedup.bam	bladder	1
WBC1304_UC1	/mnt/data/urine/bams/dedup/WBC1304_UC1_aligned_dedup.bam	bladder	1
