library	file	cohort	library_type	isolation_type	serial	duplicate	batch
BC020_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC020_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC021_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC021_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC022_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC022_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC023_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC023_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC024_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC024_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC026_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC026_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC027_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC027_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC028_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC028_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC029_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC029_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
NU1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU1_filt.bam	healthy	wgs	cfdna	0	1	2
NU1_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU1_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU10	/aclm350-zpool1/jlinford/frag/analysis/bams/NU10_filt.bam	healthy	wgs	cfdna	0	0	2
NU102	/aclm350-zpool1/jlinford/frag/analysis/bams/NU102_filt.bam	healthy	wgs	cfdna	0	0	2
NU103	/aclm350-zpool1/jlinford/frag/analysis/bams/NU103_filt.bam	healthy	wgs	cfdna	0	0	2
NU13	/aclm350-zpool1/jlinford/frag/analysis/bams/NU13_filt.bam	healthy	wgs	cfdna	0	0	3
NU15	/aclm350-zpool1/jlinford/frag/analysis/bams/NU15_filt.bam	healthy	wgs	cfdna	0	0	3
NU16	/aclm350-zpool1/jlinford/frag/analysis/bams/NU16_filt.bam	healthy	wgs	cfdna	0	1	2
NU16_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU16_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU18	/aclm350-zpool1/jlinford/frag/analysis/bams/NU18_filt.bam	healthy	wgs	cfdna	0	1	2
NU18_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU18_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU19	/aclm350-zpool1/jlinford/frag/analysis/bams/NU19_filt.bam	healthy	wgs	cfdna	0	1	2
NU19_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU19_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU19R_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU19R_UC1_filt.bam	healthy	wgs	cfdna	0	0	1
NU2	/aclm350-zpool1/jlinford/frag/analysis/bams/NU2_filt.bam	healthy	wgs	cfdna	0	0	3
Nu21	/aclm350-zpool1/jlinford/frag/analysis/bams/Nu21_filt.bam	healthy	wgs	cfdna	0	0	3
NU24	/aclm350-zpool1/jlinford/frag/analysis/bams/NU24_filt.bam	healthy	wgs	cfdna	0	0	3
NU3	/aclm350-zpool1/jlinford/frag/analysis/bams/NU3_filt.bam	healthy	wgs	cfdna	0	1	2
NU3_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU3_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU31	/aclm350-zpool1/jlinford/frag/analysis/bams/NU31_filt.bam	healthy	wgs	cfdna	0	0	3
NU32_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU32_UC1_filt.bam	healthy	wgs	cfdna	0	0	1
NU33	/aclm350-zpool1/jlinford/frag/analysis/bams/NU33_filt.bam	healthy	wgs	cfdna	0	1	3
NU33_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU33_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU36	/aclm350-zpool1/jlinford/frag/analysis/bams/NU36_filt.bam	healthy	wgs	cfdna	0	1	3
NU36_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU36_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU37	/aclm350-zpool1/jlinford/frag/analysis/bams/NU37_filt.bam	healthy	wgs	cfdna	0	0	3
NU39	/aclm350-zpool1/jlinford/frag/analysis/bams/NU39_filt.bam	healthy	wgs	cfdna	0	0	3
NU5	/aclm350-zpool1/jlinford/frag/analysis/bams/NU5_filt.bam	healthy	wgs	cfdna	0	0	3
NU55	/aclm350-zpool1/jlinford/frag/analysis/bams/NU55_filt.bam	healthy	wgs	cfdna	0	0	3
NU68	/aclm350-zpool1/jlinford/frag/analysis/bams/NU68_filt.bam	healthy	wgs	cfdna	0	1	3
NU68_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU68_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU69	/aclm350-zpool1/jlinford/frag/analysis/bams/NU69_filt.bam	healthy	wgs	cfdna	0	0	3
NU70	/aclm350-zpool1/jlinford/frag/analysis/bams/NU70_filt.bam	healthy	wgs	cfdna	0	1	3
NU70_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU70_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU71	/aclm350-zpool1/jlinford/frag/analysis/bams/NU71_filt.bam	healthy	wgs	cfdna	0	1	3
NU71_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU71_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU74	/aclm350-zpool1/jlinford/frag/analysis/bams/NU74_filt.bam	healthy	wgs	cfdna	0	0	2
NU75	/aclm350-zpool1/jlinford/frag/analysis/bams/NU75_filt.bam	healthy	wgs	cfdna	0	1	3
NU75_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU75_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU83	/aclm350-zpool1/jlinford/frag/analysis/bams/NU83_filt.bam	healthy	wgs	cfdna	0	0	2
NU90	/aclm350-zpool1/jlinford/frag/analysis/bams/NU90_filt.bam	healthy	wgs	cfdna	0	0	2
NU97	/aclm350-zpool1/jlinford/frag/analysis/bams/NU97_filt.bam	healthy	wgs	cfdna	0	0	2
PB-106_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-106_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-162_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-162_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-177_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-177_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-196_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-196_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-198_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-198_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-209_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-209_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-226_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-226_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-239_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-239_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-270_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-270_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-276_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-276_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-278_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-278_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-280_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-280_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-284_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-284_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-305_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-305_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-306_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-306_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-313_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-313_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-324_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-324_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-365_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-365_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-377_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-377_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-394_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-394_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-397_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-397_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB032_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB032_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB046_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB046_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB056_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB056_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB069_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB069_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB108_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB108_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB132_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB132_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB142_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB142_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB163_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB163_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB165_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB165_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB188_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB188_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB203_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB203_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB204_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB204_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB206_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB206_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB208_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB208_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB210_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB210_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB242_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB242_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB251_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB251_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB258_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB258_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB266_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB266_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB269_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB269_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB402_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB402_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
RCC001_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC001_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
RCC001_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC001_UC2_filt.bam	RCC	wgs	cfdna	1	0	2
RCC002_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC002_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
RCC002_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC002_UC2_filt.bam	RCC	wgs	cfdna	1	0	2
RCC003_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC003_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
RCC003_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC003_UC2_filt.bam	RCC	wgs	cfdna	1	0	2
RCC004_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC004_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
RCC004_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC004_UC2_filt.bam	RCC	wgs	cfdna	1	0	2
RCC005_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC005_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
RCC005_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC005_UC2_filt.bam	RCC	wgs	cfdna	1	0	2
RCC006_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC006_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
RCC006_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC006_UC2_filt.bam	RCC	wgs	cfdna	1	0	2
RCC008_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC008_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
RCC008_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC008_UC2_filt.bam	RCC	wgs	cfdna	1	0	2
RCC009_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC009_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
RCC009_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC009_UC2_filt.bam	RCC	wgs	cfdna	1	0	3
RCC010_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC010_UC1_filt.bam	RCC	wgs	cfdna	0	0	3
RCC010_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC010_UC2_filt.bam	RCC	wgs	cfdna	1	0	3
RCC011_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC011_UC1_filt.bam	RCC	wgs	cfdna	0	0	3
RCC012_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC012_UC1_filt.bam	RCC	wgs	cfdna	0	0	3
RCC012_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC012_UC2_filt.bam	RCC	wgs	cfdna	1	0	3
RCC013_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC013_UC1_filt.bam	RCC	wgs	cfdna	0	0	3
RCC013_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC013_UC2_filt.bam	RCC	wgs	cfdna	1	0	3
RCC014_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC014_UC1_filt.bam	RCC	wgs	cfdna	0	0	3
RCC015_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC015_UC1_filt.bam	RCC	wgs	cfdna	0	0	3
RCC015_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC015_UC2_filt.bam	RCC	wgs	cfdna	1	0	3
RCC016_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC016_UC1_filt.bam	RCC	wgs	cfdna	0	0	3
RCC016_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC016_UC2_filt.bam	RCC	wgs	cfdna	1	0	3
RCC017_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC017_UC1_filt.bam	RCC	wgs	cfdna	0	0	3
RCC017_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC017_UC2_filt.bam	RCC	wgs	cfdna	1	0	3
RCC018_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC018_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
RCC018_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC018_UC2_filt.bam	RCC	wgs	cfdna	1	0	3
RCC019_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC019_UC1_filt.bam	RCC	wgs	cfdna	0	0	3
RCC019_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC019_UC2_filt.bam	RCC	wgs	cfdna	1	0	2
WBC1045_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1045_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1045_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1045_UC2_filt.bam	bladder	wgs	cfdna	1	0	3
WBC1045_UC3	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1045_UC3_filt.bam	bladder	wgs	cfdna	1	0	3
WBC1050_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1050_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1050_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1050_UC2_filt.bam	bladder	wgs	cfdna	1	0	3
WBC1050_UC3	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1050_UC3_filt.bam	bladder	wgs	cfdna	1	0	3
WBC1058_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1058_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1062_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1062_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1063_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1063_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1064_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1064_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1065_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1065_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1069_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1069_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1071_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1071_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1076_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1076_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1083_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1083_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1085_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1085_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1088_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1088_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1090_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1090_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1096_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1096_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1104_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1104_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1105_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1105_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1108_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1108_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1109_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1109_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1111_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1111_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1116_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1116_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1132_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1132_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1133_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1133_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1135_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1135_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1140_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1140_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1147_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1147_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1171_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1171_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1174_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1174_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1182_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1182_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1185_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1185_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1186_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1186_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1188_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1188_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1196_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1196_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1197_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1197_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1198_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1198_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1202_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1202_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1203_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1203_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1206_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1206_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1207_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1207_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1209_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1209_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1215_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1215_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1222_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1222_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1233_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1233_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1235_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1235_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
WBC1242_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1242_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1243_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1243_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
WBC1255_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1255_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1260_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1260_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
WBC1265_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1265_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
WBC1269_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1269_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1277_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1277_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1296_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1296_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
WBC1298_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1298_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1300_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1300_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
WBC1303_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/WBC1303_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
